Perusahaan,Tahun,LCS,STDDEVROA,ROA,MTB,LEV,AGE,PM
IKAI,2011,4,0.023374923,-0.078190525,0.389013413,0.473613508,20,-0.239953263
IMAS,2016,2,0.006040356,-0.00204928,0.539882681,0.738238647,19,-0.020790082
IMAS,2015,2,0.017184686,-0.012206017,0.976525869,0.730618108,18,-0.001242524
IMAS,2014,2,0.027087953,-0.000904608,1.644280724,0.713394887,17,-0.003448082
IMAS,2013,1,0.023674216,-0.002858515,2.034553827,0.701552167,16,0.03091057
IMAS,2012,1,0.012673154,0.02783505,2.567419919,0.675244386,15,0.045452618
IMAS,2011,1,0.026363031,0.051149623,1.740475032,0.606302892,14,0.061540061
INAF,2016,1,0.008921019,-0.030253953,25.19217286,0.583277942,20,-0.010370437
INAF,2015,2,0.025742857,-0.012570194,0.878469925,0.613545291,19,0.004048161
INAF,2014,3,0.038843177,0.004280935,1.85862901,0.525800952,18,0.000843198
INAF,2013,1,0.044054806,0.000933096,0.802629063,0.543616455,17,-0.040540313
INAF,2012,1,0.010064448,-0.041886557,1.573226965,0.453060828,16,0.03666373
INAF,2011,3,0.015106754,0.035659133,0.829260859,0.453589629,15,0.030677465
INAI,2016,4,0.002540065,0.031840496,0.791949037,0.80731116,45,0.027678232
INAI,2015,2,0.009645768,0.026551243,0.534999237,0.819718679,44,0.020665972
INAI,2014,3,0.015695065,0.02151135,0.760274276,0.837462292,43,0.023631053
INAI,2013,3,0.02176886,0.02458392,0.376194003,0.835068717,42,0.007834431
INAI,2012,1,0.00544975,0.00655394,0.275812407,0.788936376,41,0.03974138
INAI,2011,2,0.041704346,0.037821909,0.403232901,0.80513284,40,0.047414137
INCI,2016,5,0.0316629,0.054492774,0.228133621,0.09847701,35,0.056732973
INCI,2015,2,0.014352793,0.037084778,0.358425027,0.09138966,34,0.124100809
INCI,2014,5,0.024033221,0.100035704,0.314224704,0.073467922,33,0.100235515
INCI,2013,2,0.112792414,0.074518724,0.344578891,0.073822717,32,0.127169688
INCI,2012,2,0.103587926,0.075889904,0.383152712,0.124879845,31,0.068759917
INCI,2011,4,0.052697977,0.033594495,0.34152731,0.110785446,30,-0.341496451
INDF,2016,3,0.012643926,0.058506856,1.583582762,0.465267023,26,0.078904584
INDF,2015,3,0.01041906,0.064094154,1.053734428,0.530427132,25,0.057904906
INDF,2014,2,0.018453721,0.040394635,1.437550654,0.520259356,24,0.080924088
INDF,2013,2,0.024932724,0.059883521,1.510192586,0.508621353,23,0.059386691
INDF,2012,3,0.005582077,0.043750967,1.504436794,0.42447315,22,0.095475444
INDF,2011,2,0.021088667,0.080564853,1.277749902,0.410102181,21,0.107907116
INDS,2016,3,0.028000509,0.046676592,0.257033775,0.165185148,38,0.030271994
INDS,2015,3,0.035556061,0.020004407,0.119688765,0.248593281,37,0.001165298
INDS,2014,3,0.012318034,0.000757194,0.574297917,0.199042484,36,0.068376489
INDS,2013,2,0.019525239,0.055924671,0.640950447,0.201979987,35,0.086703692
INDS,2012,3,0.012569597,0.067201099,1.087532565,0.317283185,34,0.090771428
INDS,2011,1,0.007145542,0.080532163,0.831317971,0.445257007,33,0.097503204
INTP,2016,3,0.027138662,0.064434551,2.168851613,0.133061354,31,0.251942827
INTP,2015,3,0.016339686,0.12836632,3.443546043,0.136491818,30,0.244782983
INTP,2014,3,0.014070427,0.157630952,3.713194731,0.141948272,29,0.263749718
INTP,2013,3,0.01047878,0.1825866,3.204179515,0.136412265,28,0.268162073
INTP,2012,3,0.006550225,0.188380825,4.255871398,0.146622656,27,0.275494225
INTP,2011,3,0.006054792,0.209332213,3.989144269,0.133179214,26,0.259327766
ISSP,2016,1,0.011234886,0.001377173,0.570520154,0.562207921,45,0.031579836
JKSW,2016,5,0.039478682,-0.015925299,-0.025466672,2.617070297,42,-0.011298944
JKSW,2015,5,0.032329643,-0.010598013,-0.023153775,2.660630868,41,-0.161055318
JKSW,2014,5,0.016150573,-0.087065055,-0.024434868,2.377900248,40,-0.111376756
JKSW,2013,5,0.025154357,-0.031793559,-0.036046694,2.554215315,39,-0.086893121
JKSW,2012,3,0.041520072,-0.030370511,-0.033064254,2.432349167,38,-0.190867472
JKSW,2011,3,0.019053194,-0.059028488,-0.036444832,2.333081811,37,-0.017964081
JPFA,2016,3,0.049336359,0.052530553,1.771297834,0.513118729,45,0.080241774
JPFA,2015,3,0.009416147,0.112804793,1.107982538,0.643946263,44,0.02096015
JPFA,2014,3,0.037760573,0.030565287,1.914462807,0.663709618,43,0.015734408
JPFA,2013,2,0.027848122,0.024465058,2.479559102,0.64838677,42,0.029919412
JPFA,2012,1,0.02896573,0.042945074,0.550558178,0.565447918,41,0.05969802
JPFA,2011,1,0.031546483,0.097119965,0.430887843,0.542081291,40,0.042952158
JPRS,2016,5,0.02270022,-0.041673249,0.328507737,0.12269893,43,-0.159654606
JPRS,2015,5,0.050478498,-0.054847551,0.270710048,0.084803128,42,-0.153423913
JPRS,2014,5,0.030333798,-0.060533502,0.510357782,0.04133741,41,-0.022097175
JPRS,2013,5,0.032189444,-0.018682162,0.558587507,0.037231583,40,0.077058685
JPRS,2012,4,0.032028699,0.039957144,0.712211759,0.128190374,39,0.02084066
JPRS,2011,4,0.042533472,0.024109378,1.07675939,0.228456693,38,0.058758499
KAEF,2016,2,0.01159888,0.054412699,6.724245038,0.507560626,45,0.046734548
KAEF,2015,3,0.00485597,0.058882225,2.594913402,0.424608192,44,0.052047978
KAEF,2014,2,0.009784741,0.078169033,4.492525291,0.389814254,43,0.052318026
KAEF,2013,3,0.006113208,0.0796888,2.017330342,0.342882519,42,0.049594908
KAEF,2012,3,0.008095064,0.087236086,2.851102287,0.305735849,41,0.055101958
KAEF,2011,3,0.029325918,0.099099014,1.507665813,0.301930627,40,0.049340696
KBRI,2016,3,0.048301591,-0.107326287,1.036362731,0.668315934,38,-0.636812072
KBRI,2015,1,0.049754543,-0.081315579,0.833375119,0.641979234,37,-0.645695847
KBRI,2014,1,0.042126793,-0.106973894,0.641611122,0.478921379,36,-0.504795946
KBRI,2013,1,0.044932703,-0.013488867,0.626625912,0.121094207,35,-2.040356627
KBRI,2012,4,0.365761622,-0.030702479,0.610577595,0.03954904,34,0.818591863
KBRI,2011,4,0.355563307,0.049330995,0.643620128,0.09354139,33,-0.766337296
KDSI,2016,3,0.040265364,0.051920227,0.337673431,0.632500918,43,0.02361874
